fn	m	m3	w_c	w_a	why_c	why_a	because_c	because_a
Wells/Harriet/020001.cha	24.033333333333335	24.0	402	1843	0	0	0	6
Wells/Harriet/020302.cha	27.066666666666666	27.0	488	754	0	0	0	2
Wells/Harriet/020601.cha	30.033333333333335	30.0	406	1582	1	2	0	2
Wells/Harriet/020900.cha	33.0	33.0	694	1322	2	2	0	4
Wells/Harriet/030000.cha	36.0	36.0	569	1220	3	5	0	7
Wells/Harriet/030300.cha	39.0	39.0	768	796	10	4	5	3
Wells/Harriet/030601.cha	42.03333333333333	42.0	633	1343	0	2	2	9
Wells/Harriet/041003.cha	58.1	57.0	740	1120	2	2	5	3
Wells/Iris/010600.cha	18.0	18.0	302	2498	0	1	0	0
Wells/Iris/010805.cha	20.166666666666668	18.0	376	1626	0	3	0	4
Wells/Iris/020002.cha	24.066666666666666	24.0	469	1680	2	6	0	0
Wells/Iris/020230.cha	27.0	27.0	388	1265	1	3	0	0
Wells/Iris/020500.cha	29.0	27.0	193	333	0	0	0	0
Wells/Iris/020913.cha	33.43333333333333	33.0	212	336	6	2	0	2
Wells/Iris/030006.cha	36.2	36.0	639	566	2	1	0	2
Wells/Iris/030229.cha	38.96666666666667	36.0	792	558	2	0	0	0
Wells/Iris/030527.cha	41.9	39.0	756	847	2	1	6	3
Wells/Iris/040804.cha	56.13333333333333	54.0	1496	1001	5	5	3	4
Wells/Jack/010526.cha	17.866666666666667	15.0	253	331	0	0	0	0
Wells/Jack/010904.cha	21.133333333333333	21.0	269	703	0	0	0	0
Wells/Jack/020002.cha	24.066666666666666	24.0	425	471	0	0	0	0
Wells/Jack/020225.cha	26.833333333333332	24.0	710	503	1	0	0	0
Wells/Jack/020513.cha	29.433333333333334	27.0	947	802	0	0	0	1
Wells/Jack/020924.cha	33.8	33.0	715	828	0	0	0	1
Wells/Jack/021126.cha	35.86666666666667	33.0	1328	839	9	2	2	2
Wells/Jack/030308.cha	39.266666666666666	39.0	1080	935	4	1	4	4
Wells/Jack/030523.cha	41.766666666666666	39.0	660	775	4	1	3	1
Wells/Jack/040901.cha	57.03333333333333	57.0	921	1100	7	0	6	1
Wells/Jason/010600.cha	18.0	18.0	88	1188	0	1	0	5
Wells/Jason/010900.cha	21.0	21.0	93	583	0	0	0	0
Wells/Jason/020008.cha	24.266666666666666	24.0	206	316	0	0	0	0
Wells/Jason/020301.cha	27.033333333333335	27.0	283	547	0	1	0	1
Wells/Jason/020601.cha	30.033333333333335	30.0	334	473	0	1	0	0
Wells/Jason/020929.cha	33.96666666666667	33.0	323	434	0	0	0	0
Wells/Jason/030002.cha	36.06666666666667	36.0	430	585	0	0	0	3
Wells/Jason/030306.cha	39.2	39.0	501	651	0	0	0	0
Wells/Jason/030530.cha	42.0	42.0	659	575	0	0	1	1
Wells/Jason/050019.cha	60.63333333333333	60.0	1420	2172	10	1	1	8
Wells/Jonathan/010605.cha	18.166666666666668	18.0	372	1087	1	1	0	0
Wells/Jonathan/010826.cha	20.866666666666667	18.0	240	607	0	0	0	0
Wells/Jonathan/011129.cha	23.966666666666665	21.0	837	1237	0	3	0	2
Wells/Jonathan/020226.cha	26.866666666666667	24.0	977	1275	0	6	0	3
Wells/Jonathan/020602.cha	30.066666666666666	30.0	604	976	0	1	3	0
Wells/Jonathan/020901.cha	33.03333333333333	33.0	852	942	13	3	0	6
Wells/Jonathan/021129.cha	35.96666666666667	33.0	1069	1102	4	1	0	3
Wells/Jonathan/030228.cha	38.93333333333333	36.0	1350	730	8	1	0	4
Wells/Jonathan/030524.cha	41.8	39.0	1551	1588	18	7	2	12
Wells/Jonathan/040714.cha	55.46666666666667	54.0	1980	1382	13	1	5	3
Wells/Laura/010601.cha	18.033333333333335	18.0	294	513	0	0	0	0
Wells/Laura/010907.cha	21.233333333333334	21.0	58	449	1	0	0	1
Wells/Laura/020006.cha	24.2	24.0	343	854	0	0	0	0
Wells/Laura/020416.cha	28.533333333333335	27.0	248	669	0	0	0	2
Wells/Laura/020603.cha	30.1	30.0	563	735	1	2	0	2
Wells/Laura/020913.cha	33.43333333333333	33.0	173	289	0	0	0	0
Wells/Laura/030007.cha	36.233333333333334	36.0	246	255	0	0	0	0
Wells/Laura/030300.cha	39.0	39.0	429	401	0	2	1	1
Wells/Laura/030602.cha	42.06666666666667	42.0	484	332	0	1	1	0
Wells/Lee/010528.cha	17.933333333333334	15.0	24	506	0	0	0	1
Wells/Lee/011126.cha	23.866666666666667	21.0	120	506	0	0	0	0
Wells/Lee/020203.cha	26.1	24.0	19	372	0	1	0	0
Wells/Lee/020301.cha	27.033333333333335	27.0	181	411	0	0	0	0
Wells/Lee/020601.cha	30.033333333333335	30.0	192	195	0	0	0	0
Wells/Lee/020924.cha	33.8	33.0	192	164	0	0	0	0
Wells/Lee/030300.cha	39.0	39.0	331	515	0	0	0	0
Wells/Lee/030529.cha	41.96666666666667	39.0	257	435	0	0	0	1
Wells/Martin/010526.cha	17.866666666666667	15.0	166	299	0	0	0	0
Wells/Martin/010902.cha	21.066666666666666	21.0	53	414	0	1	0	0
Wells/Martin/020008.cha	24.266666666666666	24.0	151	549	0	0	0	0
Wells/Martin/020303.cha	27.1	27.0	192	393	0	1	0	2
Wells/Martin/020526.cha	29.866666666666667	27.0	277	404	0	2	0	0
Wells/Martin/020824.cha	32.8	30.0	250	277	0	1	0	1
Wells/Martin/030004.cha	36.13333333333333	36.0	321	218	0	0	0	0
Wells/Martin/030305.cha	39.166666666666664	39.0	211	121	1	0	0	0
Wells/Martin/030528.cha	41.93333333333333	39.0	476	459	5	0	0	1
Wells/Nancy/010602.cha	18.066666666666666	18.0	61	877	0	0	0	0
Wells/Nancy/010904.cha	21.133333333333333	21.0	74	575	0	0	0	2
Wells/Nancy/020001.cha	24.033333333333335	24.0	143	550	0	2	0	1
Wells/Nancy/020312.cha	27.4	27.0	227	601	0	0	0	0
Wells/Nancy/020527.cha	29.9	27.0	249	414	1	0	0	0
Wells/Nancy/020825.cha	32.833333333333336	30.0	277	212	0	0	1	0
Wells/Nancy/030006.cha	36.2	36.0	398	386	0	1	1	0
Wells/Nancy/030303.cha	39.1	39.0	323	415	0	0	0	0
Wells/Neil/010604.cha	18.133333333333333	18.0	133	362	0	0	0	0
Wells/Neil/010905.cha	21.166666666666668	21.0	153	389	0	0	0	0
Wells/Neil/011128.cha	23.933333333333334	21.0	296	916	0	2	0	2
Wells/Neil/020225.cha	26.833333333333332	24.0	257	562	0	0	0	0
Wells/Neil/020601.cha	30.033333333333335	30.0	405	514	0	1	0	1
Wells/Neil/030002.cha	36.06666666666667	36.0	255	617	0	0	0	1
Wells/Neil/030301.cha	39.03333333333333	39.0	419	363	1	0	4	2
Wells/Neil/030601.cha	42.03333333333333	42.0	407	460	1	0	0	1
Wells/Neville/010525.cha	17.833333333333332	15.0	210	516	0	0	0	0
Wells/Neville/010915.cha	21.5	21.0	192	213	0	0	0	0
Wells/Neville/020007.cha	24.233333333333334	24.0	335	708	0	1	0	0
Wells/Neville/020300.cha	27.0	27.0	478	752	0	0	0	1
Wells/Neville/020521.cha	29.7	27.0	462	712	0	0	0	3
Wells/Neville/020900.cha	33.0	33.0	458	1126	0	5	1	2
Wells/Neville/030001.cha	36.03333333333333	36.0	680	634	0	1	2	1
Wells/Neville/030412.cha	40.4	39.0	554	707	4	2	0	1
Wells/Neville/030527.cha	41.9	39.0	545	630	5	1	3	2
Wells/Olivia/010600.cha	18.0	18.0	202	291	0	0	0	1
Wells/Olivia/010904.cha	21.133333333333333	21.0	202	500	0	2	0	0
Wells/Olivia/011127.cha	23.9	21.0	229	335	0	1	0	0
Wells/Olivia/020305.cha	27.166666666666668	27.0	582	584	1	1	0	0
Wells/Olivia/020525.cha	29.833333333333332	27.0	429	629	0	0	0	2
Wells/Olivia/020821.cha	32.7	30.0	445	238	0	0	0	0
Wells/Olivia/021126.cha	35.86666666666667	33.0	365	477	0	0	1	0
Wells/Olivia/030310.cha	39.333333333333336	39.0	468	428	2	3	1	1
Wells/Olivia/030522.cha	41.733333333333334	39.0	396	323	0	0	2	1
Wells/Penny/010609.cha	18.3	18.0	173	329	0	0	0	0
Wells/Penny/011127.cha	23.9	21.0	194	360	0	0	0	0
Wells/Penny/020300.cha	27.0	27.0	455	470	2	1	2	1
Wells/Penny/020600.cha	30.0	30.0	572	760	3	0	0	2
Wells/Penny/020905.cha	33.166666666666664	33.0	166	302	0	1	0	0
Wells/Penny/020918.cha	33.6	33.0	414	756	0	1	0	3
Wells/Penny/021127.cha	35.9	33.0	558	714	1	2	1	2
Wells/Penny/030307.cha	39.233333333333334	39.0	402	596	0	1	0	0
Wells/Penny/030526.cha	41.86666666666667	39.0	199	413	1	1	0	1
Wells/Rosie/010700.cha	19.0	18.0	37	239	0	0	0	0
Wells/Rosie/010919.cha	21.633333333333333	21.0	19	167	0	0	0	0
Wells/Rosie/020013.cha	24.433333333333334	24.0	106	238	0	0	0	0
