fn	m	m3	w_c	w_a	why_c	why_a	because_c	because_a
Thomas/020626.cha	30.866666666666667	30.0	1761	5138	1	6	0	11
Thomas/020629.cha	30.966666666666665	30.0	1687	6030	0	9	0	24
Thomas/020630.cha	31.0	30.0	1392	6335	0	5	0	18
Thomas/020700.cha	31.0	30.0	1522	4517	0	4	0	16
Thomas/020701.cha	31.033333333333335	30.0	1414	4158	0	2	0	9
Thomas/020702.cha	31.066666666666666	30.0	2156	7312	0	3	0	30
Thomas/020705.cha	31.166666666666668	30.0	2271	3348	0	6	0	2
Thomas/020706.cha	31.2	30.0	2077	7479	0	7	0	27
Thomas/020707.cha	31.233333333333334	30.0	1502	6582	0	6	0	31
Thomas/020708.cha	31.266666666666666	30.0	1516	5650	0	6	0	28
Thomas/020709.cha	31.3	30.0	1722	4881	0	5	0	10
Thomas/020712.cha	31.4	30.0	1813	7438	0	5	0	29
Thomas/020713.cha	31.433333333333334	30.0	1865	6789	0	11	0	26
Thomas/020714.cha	31.466666666666665	30.0	2219	5869	0	10	0	23
Thomas/020715.cha	31.5	30.0	1166	4137	0	3	0	17
Thomas/020716.cha	31.533333333333335	30.0	2866	4700	0	4	0	6
Thomas/020717.cha	31.566666666666666	30.0	1404	5670	0	1	0	13
Thomas/020719.cha	31.633333333333333	30.0	1958	5891	0	5	0	24
Thomas/020722.cha	31.733333333333334	30.0	2229	5665	0	3	0	17
Thomas/020723.cha	31.766666666666666	30.0	1922	5023	0	3	0	7
Thomas/020724.cha	31.8	30.0	1827	7355	0	4	0	27
Thomas/020725.cha	31.833333333333332	30.0	1779	6377	0	5	0	20
Thomas/020726.cha	31.866666666666667	30.0	1981	6344	0	5	0	23
Thomas/020727.cha	31.9	30.0	2265	6101	0	11	0	10
Thomas/020728.cha	31.933333333333334	30.0	1254	4977	0	2	0	15
Thomas/020729.cha	31.966666666666665	30.0	1693	5790	0	7	0	20
Thomas/020800.cha	32.0	30.0	2280	5508	0	1	2	9
Thomas/020803.cha	32.1	30.0	2128	6605	0	7	0	22
Thomas/020804.cha	32.13333333333333	30.0	2460	7156	0	5	0	29
Thomas/020805.cha	32.166666666666664	30.0	1661	5993	0	1	0	24
Thomas/020806.cha	32.2	30.0	1998	5161	0	4	1	13
Thomas/020810.cha	32.333333333333336	30.0	1710	5068	0	10	0	16
Thomas/020812.cha	32.4	30.0	788	1583	0	3	0	2
Thomas/020813.cha	32.43333333333333	30.0	2155	5025	0	5	0	12
Thomas/020821.cha	32.7	30.0	2419	6518	0	4	0	22
Thomas/020823.cha	32.766666666666666	30.0	1736	6351	0	5	0	27
Thomas/020824.cha	32.8	30.0	2013	6477	0	2	0	20
Thomas/020825.cha	32.833333333333336	30.0	2010	6639	0	7	1	36
Thomas/020827.cha	32.9	30.0	1781	5302	1	6	0	31
Thomas/020828.cha	32.93333333333333	30.0	2050	7303	0	4	0	32
Thomas/020829.cha	32.96666666666667	30.0	1553	7021	0	1	0	23
Thomas/020900.cha	33.0	33.0	2297	6171	0	7	0	28
Thomas/020901.cha	33.03333333333333	33.0	2331	5561	0	7	0	18
Thomas/020902.cha	33.06666666666667	33.0	1808	6277	0	9	0	25
Thomas/020903.cha	33.1	33.0	2372	5139	0	6	0	22
Thomas/020904.cha	33.13333333333333	33.0	1457	3477	0	4	0	9
Thomas/020907.cha	33.233333333333334	33.0	2340	7135	0	5	0	32
Thomas/020908.cha	33.266666666666666	33.0	2169	7677	1	5	0	40
Thomas/020909.cha	33.3	33.0	1923	4915	0	6	0	18
Thomas/020910.cha	33.333333333333336	33.0	2441	6558	0	9	0	19
Thomas/020911.cha	33.36666666666667	33.0	2479	5542	0	8	0	12
Thomas/020914.cha	33.46666666666667	33.0	2144	6429	0	4	0	21
Thomas/020915.cha	33.5	33.0	2221	6624	0	14	0	22
Thomas/020917.cha	33.56666666666667	33.0	1998	7087	0	6	0	41
Thomas/020918.cha	33.6	33.0	2660	6288	0	9	0	25
Thomas/020921.cha	33.7	33.0	2223	7172	0	4	0	24
Thomas/020922.cha	33.733333333333334	33.0	2435	7839	0	12	0	51
Thomas/020923.cha	33.766666666666666	33.0	1938	7448	0	7	0	33
Thomas/020924.cha	33.8	33.0	1723	7428	0	7	0	32
Thomas/020925.cha	33.833333333333336	33.0	2772	6925	2	7	0	31
Thomas/020928.cha	33.93333333333333	33.0	2359	7564	0	8	0	21
Thomas/020929.cha	33.96666666666667	33.0	2853	7713	2	4	0	55
Thomas/020930.cha	34.0	33.0	2363	6975	0	4	0	20
Thomas/021000.cha	34.0	33.0	2364	6650	0	8	0	14
Thomas/021001.cha	34.03333333333333	33.0	2786	4338	0	9	0	11
Thomas/021005.cha	34.166666666666664	33.0	2129	6400	1	1	0	24
Thomas/021006.cha	34.2	33.0	1164	4224	0	4	0	21
Thomas/021007.cha	34.233333333333334	33.0	2363	7451	0	3	0	20
Thomas/021008.cha	34.266666666666666	33.0	2599	5540	0	4	0	11
Thomas/021009.cha	34.3	33.0	1909	7317	0	8	0	24
Thomas/021011.cha	34.36666666666667	33.0	2247	7388	0	8	1	27
Thomas/021012.cha	34.4	33.0	1318	6178	0	6	0	32
Thomas/021013.cha	34.43333333333333	33.0	2287	5915	0	6	0	27
Thomas/021020.cha	34.666666666666664	33.0	2403	4309	0	9	0	10
Thomas/021021.cha	34.7	33.0	1800	6908	2	11	1	39
Thomas/021022.cha	34.733333333333334	33.0	2061	6618	0	6	0	33
Thomas/021023.cha	34.766666666666666	33.0	2078	7894	0	6	0	35
Thomas/021024.cha	34.8	33.0	2016	6630	0	4	0	21
Thomas/021025.cha	34.833333333333336	33.0	1413	5149	0	5	0	23
Thomas/021026.cha	34.86666666666667	33.0	1677	5788	0	7	0	22
Thomas/021027.cha	34.9	33.0	2578	6957	0	10	0	19
Thomas/021028.cha	34.93333333333333	33.0	1889	8569	0	6	0	37
Thomas/021100.cha	35.0	33.0	1885	6553	0	5	0	14
Thomas/021103.cha	35.1	33.0	2158	7265	4	6	0	25
Thomas/021104.cha	35.13333333333333	33.0	2544	6269	0	4	0	12
Thomas/021105.cha	35.166666666666664	33.0	2045	6526	0	8	0	14
Thomas/021106.cha	35.2	33.0	2393	9141	0	7	0	24
Thomas/021107.cha	35.233333333333334	33.0	1800	6895	0	4	0	16
Thomas/021110.cha	35.333333333333336	33.0	2082	4315	0	4	0	7
Thomas/021112.cha	35.4	33.0	2076	7121	0	8	0	30
Thomas/021113.cha	35.43333333333333	33.0	1925	7909	0	8	0	24
Thomas/021114.cha	35.46666666666667	33.0	1877	7989	0	3	0	26
Thomas/021118.cha	35.6	33.0	2237	6699	1	7	0	21
Thomas/021120.cha	35.666666666666664	33.0	1890	6541	0	6	0	25
Thomas/021121.cha	35.7	33.0	2124	8294	0	4	1	34
Thomas/021125.cha	35.833333333333336	33.0	989	2232	0	2	0	4
Thomas/021126.cha	35.86666666666667	33.0	1749	7871	0	5	0	23
Thomas/021127.cha	35.9	33.0	2089	7401	0	7	1	32
Thomas/021128.cha	35.93333333333333	33.0	2011	7231	0	2	2	20
Thomas/030000.cha	36.0	36.0	1781	7441	0	1	1	28
Thomas/030001.cha	36.03333333333333	36.0	1531	7231	0	4	1	10
Thomas/030002.cha	36.06666666666667	36.0	1782	7668	0	5	0	30
Thomas/030003.cha	36.1	36.0	2101	7676	0	5	0	19
Thomas/030007.cha	36.233333333333334	36.0	1280	3533	0	4	0	9
Thomas/030008.cha	36.266666666666666	36.0	2526	6891	0	8	1	11
Thomas/030010.cha	36.333333333333336	36.0	2258	7676	0	3	0	23
Thomas/030011.cha	36.36666666666667	36.0	1982	6820	0	1	3	15
Thomas/030014.cha	36.46666666666667	36.0	2151	7491	0	3	2	29
Thomas/030015.cha	36.5	36.0	2282	7486	0	11	6	24
Thomas/030016.cha	36.53333333333333	36.0	1547	8227	0	3	0	41
Thomas/030018.cha	36.6	36.0	1937	8313	1	7	0	28
Thomas/030022.cha	36.733333333333334	36.0	2373	8022	3	5	2	38
Thomas/030023.cha	36.766666666666666	36.0	2218	6764	1	7	2	30
Thomas/030024.cha	36.8	36.0	1951	6512	1	5	2	24
Thomas/030025.cha	36.833333333333336	36.0	2323	7748	0	6	4	15
Thomas/030026.cha	36.86666666666667	36.0	2351	8586	0	3	1	24
Thomas/030100.cha	37.0	36.0	1523	6065	1	3	1	22
Thomas/030101.cha	37.03333333333333	36.0	1855	7468	1	3	3	36
Thomas/030102.cha	37.06666666666667	36.0	2907	8110	0	7	1	34
Thomas/030103.cha	37.1	36.0	2192	7851	0	5	6	38
Thomas/030104.cha	37.13333333333333	36.0	1965	9205	0	3	0	38
Thomas/030106.cha	37.2	36.0	1910	7720	0	9	3	14
Thomas/030112.cha	37.4	36.0	1564	8665	0	7	2	35
Thomas/030113.cha	37.43333333333333	36.0	2255	9204	1	8	2	29
Thomas/030114.cha	37.46666666666667	36.0	2450	7491	1	4	5	27
Thomas/030115.cha	37.5	36.0	1851	8156	0	6	5	16
Thomas/030116.cha	37.53333333333333	36.0	1976	6921	0	11	5	17
Thomas/030119.cha	37.63333333333333	36.0	2068	8662	0	12	3	34
Thomas/030121.cha	37.7	36.0	1417	7572	1	5	0	27
Thomas/030122.cha	37.733333333333334	36.0	2220	7573	0	7	4	28
Thomas/030123.cha	37.766666666666666	36.0	2464	5990	0	5	4	24
Thomas/030126.cha	37.86666666666667	36.0	2159	7243	0	7	0	20
Thomas/030127.cha	37.9	36.0	1697	7242	0	20	6	20
Thomas/030128.cha	37.93333333333333	36.0	2523	6289	0	9	6	26
Thomas/030130.cha	38.0	36.0	2353	7648	0	8	3	44
Thomas/030202.cha	38.06666666666667	36.0	2691	7659	0	11	9	36
Thomas/030203.cha	38.1	36.0	2524	5929	1	11	1	18
Thomas/030204.cha	38.13333333333333	36.0	2473	7052	0	14	10	32
Thomas/030205.cha	38.166666666666664	36.0	2492	6943	0	26	14	24
Thomas/030206.cha	38.2	36.0	2542	7058	1	13	8	24
Thomas/030209.cha	38.3	36.0	2294	6606	1	5	2	14
Thomas/030210.cha	38.333333333333336	36.0	1462	5846	0	6	3	26
Thomas/030211.cha	38.36666666666667	36.0	2455	5875	1	6	1	14
Thomas/030212.cha	38.4	36.0	2295	7437	2	10	6	31
Thomas/030302.cha	39.06666666666667	39.0	2497	7416	1	6	3	26
Thomas/030303.cha	39.1	39.0	2639	8133	2	7	17	29
Thomas/030304.cha	39.13333333333333	39.0	2833	8208	9	8	24	40
Thomas/030306.cha	39.2	39.0	2620	8258	3	7	14	38
Thomas/030307.cha	39.233333333333334	39.0	2468	8104	1	19	8	24
Thomas/030400.cha	40.0	39.0	2142	5482	3	6	11	21
Thomas/030401.cha	40.03333333333333	39.0	2985	8023	5	12	9	23
Thomas/030402.cha	40.06666666666667	39.0	2713	9291	4	7	7	43
Thomas/030403.cha	40.1	39.0	3956	6766	5	12	33	24
Thomas/030404.cha	40.13333333333333	39.0	2352	7926	2	20	13	31
Thomas/030502.cha	41.06666666666667	39.0	3101	7353	11	12	14	19
Thomas/030503.cha	41.1	39.0	2326	7322	4	10	13	41
Thomas/030504.cha	41.13333333333333	39.0	2942	6388	9	8	22	27
Thomas/030505.cha	41.166666666666664	39.0	3009	7848	0	10	20	15
Thomas/030600.cha	42.0	42.0	3678	7220	0	5	6	21
Thomas/030601.cha	42.03333333333333	42.0	2661	7915	4	6	27	16
Thomas/030602.cha	42.06666666666667	42.0	2441	8239	3	5	3	21
Thomas/030603.cha	42.1	42.0	2773	7902	4	8	6	40
Thomas/030604.cha	42.13333333333333	42.0	3443	5790	5	4	17	9
Thomas/030701.cha	43.03333333333333	42.0	3397	6597	5	5	7	27
Thomas/030702.cha	43.06666666666667	42.0	3614	6584	4	1	21	38
Thomas/030703.cha	43.1	42.0	2819	7494	8	4	7	35
Thomas/030704.cha	43.13333333333333	42.0	2446	4697	0	9	9	19
Thomas/030706.cha	43.2	42.0	1903	7107	1	12	5	29
Thomas/030801.cha	44.03333333333333	42.0	1770	7662	1	4	4	23
Thomas/030802.cha	44.06666666666667	42.0	905	2262	1	3	15	14
Thomas/030803.cha	44.1	42.0	3384	5895	1	7	16	18
Thomas/030804.cha	44.13333333333333	42.0	2459	6489	3	10	19	38
Thomas/030805.cha	44.166666666666664	42.0	2542	8480	2	8	6	30
Thomas/030901.cha	45.03333333333333	45.0	2620	7153	4	4	10	27
Thomas/030902.cha	45.06666666666667	45.0	2028	6929	4	6	19	41
Thomas/030903.cha	45.1	45.0	2654	6614	6	8	24	15
Thomas/030904.cha	45.13333333333333	45.0	2220	7014	1	18	15	17
Thomas/030905.cha	45.166666666666664	45.0	2159	6236	1	8	12	38
Thomas/031000.cha	46.0	45.0	794	2217	1	0	4	9
Thomas/031001.cha	46.03333333333333	45.0	2610	6760	5	5	19	34
Thomas/031002.cha	46.06666666666667	45.0	3220	8609	6	9	22	40
Thomas/031003.cha	46.1	45.0	2081	7416	3	12	15	32
Thomas/031004.cha	46.13333333333333	45.0	1801	6181	0	9	17	28
Thomas/031102.cha	47.06666666666667	45.0	3071	9614	6	3	17	38
Thomas/031103.cha	47.1	45.0	4233	7989	3	17	23	19
Thomas/031105.cha	47.166666666666664	45.0	1438	6506	0	5	4	15
Thomas/031106.cha	47.2	45.0	320	951	0	7	5	2
Thomas/040002.cha	48.06666666666667	48.0	326	1033	0	0	0	10
Thomas/040004.cha	48.13333333333333	48.0	2096	7525	4	10	9	18
Thomas/040007.cha	48.233333333333334	48.0	2404	7843	2	8	4	50
Thomas/040009.cha	48.3	48.0	1920	6897	6	13	1	24
Thomas/040100.cha	49.0	48.0	2334	6288	1	16	11	26
Thomas/040101.cha	49.03333333333333	48.0	3698	7288	7	12	29	36
Thomas/040102.cha	49.06666666666667	48.0	3258	7351	4	7	19	31
Thomas/040103.cha	49.1	48.0	2963	6935	4	14	9	18
Thomas/040105.cha	49.166666666666664	48.0	3051	7283	3	13	20	54
Thomas/040201.cha	50.03333333333333	48.0	2856	7022	3	12	8	23
Thomas/040202.cha	50.06666666666667	48.0	2318	7597	3	13	10	31
Thomas/040203.cha	50.1	48.0	1275	3592	1	8	9	28
Thomas/040204.cha	50.13333333333333	48.0	2346	6240	0	8	10	17
Thomas/040208.cha	50.266666666666666	48.0	2341	7622	2	12	5	32
Thomas/040300.cha	51.0	51.0	1786	5954	4	8	4	25
Thomas/040302.cha	51.06666666666667	51.0	2447	8205	2	5	7	54
Thomas/040303.cha	51.1	51.0	1655	5208	1	8	6	9
Thomas/040305.cha	51.166666666666664	51.0	2514	6945	2	10	8	38
Thomas/040306.cha	51.2	51.0	2657	7881	5	13	10	38
Thomas/040400.cha	52.0	51.0	1357	3633	0	0	19	11
Thomas/040403.cha	52.1	51.0	3433	5320	8	5	15	25
Thomas/040404.cha	52.13333333333333	51.0	1073	3779	3	4	1	18
Thomas/040405.cha	52.166666666666664	51.0	3853	7889	5	14	5	28
Thomas/040406.cha	52.2	51.0	2399	7481	7	14	2	28
Thomas/040503.cha	53.1	51.0	2648	7865	2	6	4	34
Thomas/040504.cha	53.13333333333333	51.0	2829	7377	6	12	16	31
Thomas/040505.cha	53.166666666666664	51.0	2034	5227	5	5	9	15
Thomas/040507.cha	53.233333333333334	51.0	2143	7045	5	16	12	22
Thomas/040509.cha	53.3	51.0	2630	7809	5	14	22	28
Thomas/040601.cha	54.03333333333333	54.0	3234	7696	5	8	12	47
Thomas/040602.cha	54.06666666666667	54.0	3719	6234	3	5	9	25
Thomas/040603.cha	54.1	54.0	2016	7866	4	15	5	51
Thomas/040604.cha	54.13333333333333	54.0	2843	7466	11	11	6	37
Thomas/040701.cha	55.03333333333333	54.0	2697	7939	5	15	13	41
Thomas/040706.cha	55.2	54.0	3131	6555	2	10	21	9
Thomas/040709.cha	55.3	54.0	2965	8352	1	13	2	20
Thomas/040710.cha	55.333333333333336	54.0	4021	7278	9	7	21	33
Thomas/040800.cha	56.0	54.0	3073	7138	3	14	5	31
Thomas/040801.cha	56.03333333333333	54.0	3024	7043	1	8	10	35
Thomas/040803.cha	56.1	54.0	4039	7712	3	12	19	28
Thomas/040806.cha	56.2	54.0	2545	6850	2	3	7	35
Thomas/040808.cha	56.266666666666666	54.0	2893	7331	0	5	45	19
Thomas/040904.cha	57.13333333333333	57.0	2621	5912	7	12	5	25
Thomas/040905.cha	57.166666666666664	57.0	2556	7174	8	8	2	54
Thomas/040906.cha	57.2	57.0	2707	7199	5	13	10	31
Thomas/040907.cha	57.233333333333334	57.0	2447	7779	4	3	8	42
Thomas/040912.cha	57.4	57.0	2531	6682	2	7	24	14
Thomas/041004.cha	58.13333333333333	57.0	3203	7654	10	10	16	26
Thomas/041005.cha	58.166666666666664	57.0	4020	6235	7	6	8	19
Thomas/041006.cha	58.2	57.0	2961	7198	9	14	13	37
Thomas/041008.cha	58.266666666666666	57.0	1389	3249	4	8	6	16
Thomas/041010.cha	58.333333333333336	57.0	2421	7925	3	17	7	29
Thomas/041100.cha	59.0	57.0	2075	6936	5	4	1	40
Thomas/041101.cha	59.03333333333333	57.0	2439	7820	4	9	1	39
Thomas/041106.cha	59.2	57.0	3690	6845	6	7	4	42
Thomas/041108.cha	59.266666666666666	57.0	2439	7184	6	9	11	25
Thomas/041120.cha	59.666666666666664	57.0	2809	7207	11	7	4	42
